datetime,latitude,longitude,temperature,precipitation,humidity,wind_speed,solar_radiation
20200101,12.5,-43.78,25.47,0.02,72.75,6.17,5.6047
20200101,4.31,172.45,29.44,4.59,80.47,5.33,3.3401
20200101,58.46,-102.78,-12.59,0.44,98.27,0.59,0.2753
20200101,18.08,-152.44,24.89,0.08,71.59,6.1,4.997
20200101,38.24,-70.42,12.73,0.05,73.75,9.8,0.9847
20200101,-54.52,156.84,6.62,0.64,92.79,8.18,8.7646
20200101,-43.5,-83.06,14.44,0.75,96.62,7.34,7.679
20200101,9.83,139.76,28.11,1.18,78.35,8.11,4.6608
20200101,-57.5,-60.78,6.11,4.32,97.17,7.13,4.2461
20200101,26.95,95.82,13.34,0.01,76.38,0.51,2.0743
20200101,-54.41,-36.53,2.39,3.69,90.88,8.78,3.5657
20200101,-28.36,-109.46,20.82,1.13,79.07,6.45,6.6638
20200101,20.19,-29.21,22.16,0.0,76.79,6.32,4.6562
20200101,58.11,146.46,-1.26,14.79,83.92,14.65,0.079
20200101,-49.59,165.37,10.92,0.97,90.9,5.06,8.8032
20200101,43.04,-77.43,-1.75,0.28,83.23,1.77,0.8983
20200101,38.95,21.84,0.15,0.04,76.96,2.38,2.79
20200101,52.41,-101.58,-8.51,1.02,99.47,0.75,0.4308
20200101,38.73,-156.33,13.58,27.74,89.68,11.03,1.3188
20200101,-38.39,129.45,16.93,0.35,82.7,6.72,7.6001
20200101,-45.3,27.95,9.19,1.18,91.56,7.16,6.0859
20200101,47.61,-134.01,8.41,1.99,73.11,8.75,0.9658
20200101,-37.53,-159.15,18.96,6.6,77.24,8.45,5.8289
20200101,23.46,73.4,16.53,0.0,70.68,3.21,3.4829
20200101,35.05,76.88,-22.63,0.0,88.19,1.27,1.3634
20200101,28.47,-45.32,21.77,0.01,76.7,3.16,3.8518
20200101,-57.0,-55.71,4.6,2.68,97.79,6.13,5.5586
20200101,-5.32,120.05,26.59,22.7,84.65,4.34,1.8461
20200101,58.92,-78.04,-15.64,0.64,95.82,3.51,0.2292
20200101,-50.28,37.05,4.56,4.15,95.37,9.24,3.7262
20200101,44.45,81.11,-9.2,0.31,89.5,0.83,1.7316
20200101,49.38,77.86,-11.86,0.16,91.68,6.57,0.9242
20200101,3.0,48.11,27.02,0.01,84.24,6.58,5.8932
20200101,23.25,-168.7,22.34,0.61,77.19,7.58,3.7478
20200101,-49.99,-65.43,12.33,0.01,91.08,6.19,9.0024
20200101,28.51,76.13,9.75,0.0,52.59,1.45,2.7636
20200101,-27.32,166.78,21.9,0.11,74.3,2.87,8.2805
20200101,54.98,101.0,-15.65,0.26,99.94,0.85,0.8621
20200101,9.37,45.42,22.4,0.67,74.49,3.2,6.0641
20200101,-13.04,-77.84,22.5,0.0,86.9,3.9,7.0781
20200101,-19.15,33.09,25.91,4.77,76.97,2.54,6.1898
20200101,36.07,61.44,5.03,1.23,76.91,1.05,2.0508
20200101,-57.94,42.81,0.76,0.96,84.79,9.25,6.3646
20200101,54.98,92.41,-10.75,0.92,99.48,1.47,0.4164
20200101,-12.21,118.19,29.48,2.08,77.62,2.27,6.355
20200101,36.64,-86.99,3.23,0.39,84.64,1.76,2.893
20200101,-25.87,-100.0,21.62,0.02,80.17,3.35,8.6842
20200101,-5.19,105.23,25.66,12.28,89.74,1.18,3.8674
20200101,29.02,38.76,9.26,0.0,43.77,2.37,3.2897
20200101,-57.32,-12.73,0.04,0.46,85.35,5.24,5.1674
20200101,32.92,72.04,8.43,0.0,49.52,1.0,1.8521
20200101,-55.88,115.35,2.2,0.99,81.6,7.17,5.2512
20200101,-53.47,33.18,2.64,1.14,93.58,7.65,5.5145
20200101,9.98,109.73,26.76,0.6,84.33,9.53,4.7484
20200101,-34.28,70.59,18.05,2.63,86.41,8.47,5.1463
20200101,16.71,-102.14,27.48,0.07,76.24,3.11,5.3738
20200101,23.73,-135.99,20.89,0.36,72.3,7.42,3.509
20200101,-27.44,3.22,20.08,0.23,74.0,4.58,6.6113
20200101,16.65,99.81,28.21,0.0,51.26,2.67,3.9142
20200101,-13.97,-163.41,28.49,10.98,84.73,9.67,6.2998
20200101,-46.17,113.41,8.77,1.09,84.78,7.56,6.301
20200101,-51.68,139.32,5.9,3.93,91.53,5.09,4.3594
20200101,-25.95,99.58,21.86,0.02,77.92,4.94,6.9017
20200101,-44.88,-120.28,9.36,0.91,80.97,7.39,4.5734
20200101,-15.58,82.68,27.74,2.17,80.31,5.05,7.1297
20200101,21.9,-133.32,20.88,0.14,73.44,7.09,3.5774
20200101,31.61,62.23,9.64,0.0,42.38,2.78,3.5201
20200101,46.24,169.54,2.87,0.32,78.09,6.85,1.4388
20200101,-19.81,98.15,24.72,0.09,79.25,6.95,5.4487
